start,stop
1620648894066298,1620648894067375
1620648894066797,1620648894067828
1620648894067376,1620648894068415
1620648894067828,1620648894068846
1620648894068416,1620648894069460
1620648894068847,1620648894069860
1620648894069461,1620648894070472
1620648894069860,1620648894070846
1620648894070473,1620648894071566
1620648894070847,1620648894071889
1620648894071567,1620648894072606
1620648894071893,1620648894072907
1620648894072607,1620648894073611
1620648894072908,1620648894073940
1620648894073612,1620648894074654
1620648894073941,1620648894074959
1620648894074655,1620648894075695
1620648894074960,1620648894075946
1620648894075696,1620648894076802
1620648894075946,1620648894076998
1620648894076805,1620648894077874
1620648894076999,1620648894078027
1620648894077875,1620648894078929
1620648894078028,1620648894079040
1620648894078930,1620648894079993
1620648894079040,1620648894080078
1620648894079994,1620648894081087
1620648894080079,1620648894081118
1620648894081119,1620648894082217
1620648894081088,1620648894082307
1620648894082218,1620648894083300
1620648894082309,1620648894083461
1620648894083301,1620648894084312
1620648894083462,1620648894084498
1620648894084312,1620648894085330
1620648894084499,1620648894085540
1620648894085331,1620648894086371
1620648894085540,1620648894086596
1620648894086372,1620648894087438
1620648894086597,1620648894087852
1620648894087440,1620648894088545
1620648894087854,1620648894088898
1620648894089300,1620648894090339
1620648894090092,1620648894091122
1620648894090340,1620648894091372
1620648894091123,1620648894092156
1620648894091373,1620648894092409
1620648894092156,1620648894093193
1620648894092410,1620648894093449
1620648894093194,1620648894094230
1620648894093449,1620648894094484
1620648894094230,1620648894095298
1620648894094485,1620648894095612
1620648894095300,1620648894096422
1620648894095613,1620648894096668
1620648894096423,1620648894097456
1620648894096669,1620648894097704
1620648894097457,1620648894098492
1620648894097704,1620648894098739
1620648894098493,1620648894099619
1620648894098739,1620648894099850
1620648894099623,1620648894100733
1620648894099851,1620648894100926
1620648894100734,1620648894101794
1620648894100927,1620648894101941
1620648894101795,1620648894102860
1620648894101942,1620648894102960
1620648894102861,1620648894103928
1620648894102961,1620648894103978
1620648894103929,1620648894105075
1620648894103979,1620648894105143
1620648894105077,1620648894106182
1620648894105145,1620648894106250
1620648894106184,1620648894107289
1620648894106251,1620648894107357
1620648894107289,1620648894108398
1620648894107358,1620648894108464
1620648894108399,1620648894109509
1620648894108465,1620648894109578
1620648894109510,1620648894110614
1620648894109579,1620648894110682
1620648894110614,1620648894111720
1620648894110683,1620648894111788
1620648894111721,1620648894112829
1620648894111789,1620648894112897
1620648894112830,1620648894113974
1620648894112898,1620648894114036
1620648894113976,1620648894115067
1620648894114037,1620648894115124
1620648894115068,1620648894116238
1620648894115125,1620648894116339
1620648894116240,1620648894117353
1620648894116341,1620648894117472
1620648894117354,1620648894118376
1620648894117473,1620648894118520
1620648894118376,1620648894119442
1620648894118521,1620648894119546
1620648894119443,1620648894120453
1620648894119546,1620648894120558
1620648894120453,1620648894121495
1620648894120559,1620648894121623
1620648894121496,1620648894122529
1620648894121624,1620648894122635
1620648894122530,1620648894123620
1620648894122638,1620648894123699
1620648894123621,1620648894124785
1620648894123700,1620648894124798
1620648894124786,1620648894125793
1620648894124799,1620648894125860
1620648894125794,1620648894126811
1620648894125861,1620648894126881
1620648894126817,1620648894127936
1620648894126882,1620648894127974
1620648894127937,1620648894129242
1620648894127975,1620648894129298
1620648894129245,1620648894130564
1620648894129302,1620648894130609
1620648894130566,1620648894131628
1620648894130611,1620648894131711
1620648894131628,1620648894132673
1620648894131713,1620648894132776
1620648894132673,1620648894133683
1620648894132777,1620648894133815
1620648894133684,1620648894134699
1620648894133816,1620648894134833
1620648894134700,1620648894135717
1620648894134834,1620648894135852
1620648894135718,1620648894136731
1620648894135854,1620648894136868
1620648894136732,1620648894137826
1620648894136869,1620648894137937
1620648894137828,1620648894138852
1620648894137940,1620648894138953
1620648894138853,1620648894139864
1620648894138954,1620648894139969
1620648894139866,1620648894140880
1620648894139970,1620648894140985
1620648894140880,1620648894141896
1620648894140985,1620648894142001
1620648894141897,1620648894142912
